id,startedAt,finishedAt,trigger,status,recordsFound,recordsNew,errorMessage,providersUsed
cmrgsrc120000vubrdfvow9p7,2026-07-11 20:08:16.55,2026-07-11 20:11:34.539,manual,success,148,15,,"{""groq"": {""tokens"": 29731, ""requests"": 22, ""remainingTokens"": 70269, ""dailyLimitTokens"": 100000, ""remainingRequests"": 978, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 149, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 51, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 17, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 258, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
cmrq5mnju000104l4204vbr2h,2026-07-18 09:18:28.794,,manual,running,0,0,,
cmrq5mnkb000104jo9c5bpqw0,2026-07-18 09:18:28.812,,manual,running,0,0,,
81f2d12f-8767-4f88-a82a-60a1eb9a073c,2026-07-11 20:16:48.096,2026-07-11 20:19:34.633,manual,success,128,12,,"{""groq"": {""tokens"": 27293, ""requests"": 18, ""remainingTokens"": 72707, ""dailyLimitTokens"": 100000, ""remainingRequests"": 982, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 128, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 72, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 16, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 186, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
73989f94-184d-40ef-b250-488487542641,2026-07-11 20:23:17.537,2026-07-11 20:23:47.299,manual,success,0,0,,"{""groq"": {""tokens"": 27293, ""requests"": 18, ""remainingTokens"": 72707, ""dailyLimitTokens"": 100000, ""remainingRequests"": 982, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 128, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 72, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 16, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 414, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
4203ddf9-5b6c-4ca4-9e4e-3bf30149bdf9,2026-07-11 20:28:13.411,2026-07-11 20:33:02.632,manual,success,112,0,,"{""groq"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 100000, ""dailyLimitTokens"": 100000, ""remainingRequests"": 1000, ""dailyLimitRequests"": 1000}, ""jina"": {""tokens"": 0, ""requests"": 112, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 88, ""dailyLimitRequests"": 200}, ""brave"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 66, ""dailyLimitRequests"": 66}, ""tavily"": {""tokens"": 0, ""requests"": 42, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 33}, ""webpeel"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 125, ""dailyLimitRequests"": 125}, ""_devMode"": false, ""firecrawl"": {""tokens"": 0, ""requests"": 17, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": 0, ""dailyLimitRequests"": 16}, ""duckduckgo"": {""tokens"": 0, ""requests"": 186, ""remainingTokens"": -1, ""dailyLimitTokens"": -1, ""remainingRequests"": -1, ""dailyLimitRequests"": -1}, ""openrouter"": {""tokens"": 0, ""requests"": 0, ""remainingTokens"": 500000, ""dailyLimitTokens"": 500000, ""remainingRequests"": 200, ""dailyLimitRequests"": 200}}"
cmrhzqxkh000104jlpo6t4zfn,2026-07-12 16:11:41.297,,manual,running,0,0,,
cmrhzr07c000404jltag1ymgg,2026-07-12 16:11:44.712,,manual,running,0,0,,
cmrhzr1qb000604jlhzjuk9uc,2026-07-12 16:11:46.691,,manual,running,0,0,,
cmrhzr3o7000804jlersxscgs,2026-07-12 16:11:49.207,,manual,running,0,0,,
8d4b4fa9-e3bf-42f9-8ece-6cdb7e8e6a53,2026-07-15 02:29:06.66,,manual,running,0,0,,
