id,name,url,active,createdAt,updatedAt,eventsFound,lastScrapeStatus,lastScrapedAt,notes,scrapeMode,urlPattern,sourceMode,manualCheckFrequencyDays,lastManualCheckAt
cmr9cqhpo003uf2br8729zbw8,conferencenext.com,https://www.conferencenext.com,t,2026-07-06 15:05:20.172,2026-07-11 04:08:58.969,0,,,,auto,,automated,,
cmr9cqhpp003yf2bratd2gbix,eventbrite.com,https://www.eventbrite.com,t,2026-07-06 15:05:20.172,2026-07-11 04:08:59.858,0,,,,auto,,automated,,
cmr9cqhpp003xf2brs7hg0754,eventseye.com,https://www.eventseye.com,t,2026-07-06 15:05:20.172,2026-07-11 04:09:00.078,0,,,,auto,,automated,,
cmr9cqhpp0042f2bru35u10lu,eventsinamerica.com,https://www.eventsinamerica.com,t,2026-07-06 15:05:20.172,2026-07-11 04:09:00.298,0,,,,auto,,automated,,
cmr9cqhpp0045f2brbs8rzpv5,internationalconferencealerts.com,https://www.internationalconferencealerts.com,t,2026-07-06 15:05:20.172,2026-07-11 04:09:00.518,0,,,,auto,,automated,,
cmr9cqhpp0044f2brmzfi36ck,tradefest.io,https://www.tradefest.io,t,2026-07-06 15:05:20.172,2026-07-11 04:09:00.738,0,,,,auto,,automated,,
cmr9cqhpp0040f2bry0k7lavh,tradeshowhandbook.com,https://www.tradeshowhandbook.com,t,2026-07-06 15:05:20.172,2026-07-11 04:09:01.084,0,,,,auto,,automated,,
cmr9cqhpr0054f2brtxkgvatt,Tradeshowbiz.com,https://www.tradeshowbiz.com,t,2026-07-06 15:05:20.172,2026-07-11 04:08:55.657,0,,,,auto,,automated,,
cmrx9qyr600007wbrxlbfagu5,Philly Expo Center Calendar,https://phillyexpocenter.com/calendar/,t,2026-07-23 08:48:11.635,2026-07-23 08:48:11.635,0,,,,calendar,,automated,,
cmrxeombv00004kbrjsw5ozgv,Eventbrite,https://www.eventbrite.com,t,2026-07-23 11:06:20.299,2026-07-23 11:06:20.299,0,,,,calendar,,automated,,
cm黑meet001,blackmeetingsandtourism.com,https://www.blackmeetingsandtourism.com,t,2026-07-06 21:57:28.72,2026-07-06 21:57:28.72,0,,,,auto,,automated,,
cmr9cqhpq004pf2br0bnun53e,InfoComm - AV Association,https://www.infocomm.org,f,2026-07-06 15:05:20.172,2026-07-11 04:15:18.252,0,,,Manual source — no automated scraping possible. Check periodically for new events.,skip,,manual,,2026-07-06 17:26:12.68
cmr9cqhpr005cf2br3loi9c6c,Showsbee - Event Research,https://www.showsbee.com,f,2026-07-06 15:05:20.172,2026-07-11 04:15:23.031,0,,,,skip,,automated,,
cmr9cqhpr0053f2brepu7nv72,"TSNN - The Ultimate Trade Show Directory, for Exposition and Exhibitor Tradeshow Services and tradeshow supplies - Home",https://www.tsnn.com,f,2026-07-06 15:05:20.172,2026-07-11 04:15:24.481,0,,,Manual source — no automated scraping possible. Check periodically for new events.,skip,,manual,,2026-07-06 17:26:12.68
cmr9cqhpr0055f2brtie21ehx,The Nat Cntr for Spectator Sports Security,https://www.usm.edu/,f,2026-07-06 15:05:20.172,2026-07-11 06:36:44.661,0,,,Manual source — no automated scraping possible. Check periodically for new events.,skip,,manual,,2026-07-06 17:26:12.68
cmr9cqhpr0057f2br1a13xd66,CME Conferences 2019 | Medical Conferences in 2019 | Medical Meetings,https://www.emedevents.com/,f,2026-07-06 15:05:20.172,2026-07-11 06:41:31.415,0,,,Manual source — no automated scraping possible. Check periodically for new events.,skip,,manual,,2026-07-06 17:26:12.68
cmr9cqhpr0056f2br1ngef404,Mid-Atlantic Society of Association Executives,https://www.midatlantic-sae.org/Events,f,2026-07-06 15:05:20.172,2026-07-11 06:43:09.71,0,,,Manual source — no automated scraping possible. Check periodically for new events.,skip,,manual,,2026-07-06 17:26:12.68
cmr9cqhpq004wf2brh2l8dgvl,PA State Assoc of County Fairs - Welcome,https://www.pafairs.org/events/filters/iso=1,f,2026-07-06 15:05:20.172,2026-07-11 06:45:07.556,0,,,Manual source — no automated scraping possible. Check periodically for new events.,skip,,manual,,2026-07-06 17:26:12.68
cmrrxcae90000trbrg1nsmtuh,https://infosec-conferences.com/country/united-states,https://infosec-conferences.com/country/united-states/,t,2026-07-19 15:02:00.609,2026-07-19 15:02:00.609,0,,,,directory,,automated,,
cmrs5vmlu000053brmy17apvm,Baltimore Hotels Import,https://example.com,t,2026-07-19 19:00:59.827,2026-07-19 19:00:59.827,0,,,,auto,,automated,,
